Record_id,Date,Year_month,Country,Region,Facility_id,Facility_type,Service_type,Client_age_group,Client_gender,Visit_volume,Direct_cost_usd,Indirect_cost_usd,Total_cost_usd,Social_value_per_visit,Social_value_usd,Roi,Cumulative_visits,Region_lat,Region_lon
3354,2025-11-05,2025-11,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Maternal Health,45+,Male,14,630,247 ,877 ,800 ,"11,200 ",11.8 ,152,-1.2864,36.8172
878,2025-12-22,2025-12,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Malaria Prevention,35-44,Male,10,80,206 ,286 ,180 ,"1,800 ",5.3 ,162,-1.2864,36.8172
3667,2025-12-22,2025-12,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Family Planning,15-24,Female,13,195,124 ,319 ,120 ,"1,560 ",3.9 ,175,-1.2864,36.8172
7075,2026-01-03,2026-01,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Maternal Health,15-24,Male,9,405,208 ,613 ,800 ,"7,200 ",10.7 ,184,-1.2864,36.8172
830,2026-01-08,2026-01,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Child Immunization,25-34,Male,16,192,368 ,560 ,250 ,"4,000 ",6.1 ,200,-1.2864,36.8172
5248,2026-03-13,2026-03,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,HIV Testing,45+,Female,3,60,67 ,127 ,300 ,900 ,6.1 ,203,-1.2864,36.8172
7291,2026-03-26,2026-03,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Child Immunization,45+,Female,18,216,460 ,676 ,250 ,"4,500 ",5.7 ,221,-1.2864,36.8172
3877,2026-04-14,2026-04,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Maternal Health,35-44,Female,6,270,126 ,396 ,800 ,"4,800 ",11.1 ,227,-1.2864,36.8172
5011,2026-04-23,2026-04,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Child Immunization,25-34,Female,11,132,319 ,451 ,250 ,"2,750 ",5.1 ,238,-1.2864,36.8172
1012,2026-05-25,2026-05,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Maternal Health,15-24,Female,10,450,216 ,666 ,800 ,"8,000 ",11.0 ,248,-1.2864,36.8172
8167,2026-05-26,2026-05,Kenya,Nairobi,Ken_Nai_Cl_2,Clinic,Post-abortion Care,35-44,Male,4,240,47 ,287 ,"1,500 ","6,000 ",19.9 ,252,-1.2864,36.8172
3613,2025-01-19,2025-01,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Child Immunization,45+,Female,12,144,298 ,442 ,250 ,"3,000 ",5.8 ,12,-1.2864,36.8172
7443,2025-01-21,2025-01,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Family Planning,25-34,Male,13,195,237 ,432 ,120 ,"1,560 ",2.6 ,25,-1.2864,36.8172
1185,2025-02-05,2025-02,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Malaria Prevention,15-24,Female,13,104,147 ,251 ,180 ,"2,340 ",8.3 ,38,-1.2864,36.8172
7953,2025-02-27,2025-02,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Child Immunization,15-24,Male,20,240,328 ,568 ,250 ,"5,000 ",7.8 ,58,-1.2864,36.8172
2277,2025-03-04,2025-03,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Child Immunization,15-24,Male,16,192,118 ,310 ,250 ,"4,000 ",11.9 ,74,-1.2864,36.8172
7954,2025-03-24,2025-03,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Child Immunization,45+,Male,18,216,479 ,695 ,250 ,"4,500 ",5.5 ,92,-1.2864,36.8172
7788,2025-04-06,2025-04,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Child Immunization,35-44,Male,15,180,374 ,554 ,250 ,"3,750 ",5.8 ,107,-1.2864,36.8172
4293,2025-05-24,2025-05,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Child Immunization,45+,Male,17,204,163 ,367 ,250 ,"4,250 ",10.6 ,124,-1.2864,36.8172
3812,2025-05-28,2025-05,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Post-abortion Care,45+,Female,2,120,26 ,146 ,"1,500 ","3,000 ",19.5 ,126,-1.2864,36.8172
3394,2025-06-20,2025-06,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Family Planning,35-44,Male,16,240,386 ,626 ,120 ,"1,920 ",2.1 ,142,-1.2864,36.8172
2715,2025-07-20,2025-07,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Post-abortion Care,35-44,Male,2,120,49 ,169 ,"1,500 ","3,000 ",16.8 ,144,-1.2864,36.8172
8241,2025-08-09,2025-08,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Family Planning,15-24,Male,10,150,156 ,306 ,120 ,"1,200 ",2.9 ,154,-1.2864,36.8172
7228,2025-09-28,2025-09,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Family Planning,15-24,Male,20,300,503 ,803 ,120 ,"2,400 ",2.0 ,174,-1.2864,36.8172
7604,2025-10-15,2025-10,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Post-abortion Care,15-24,Male,4,240,85 ,325 ,"1,500 ","6,000 ",17.5 ,178,-1.2864,36.8172
2689,2025-12-02,2025-12,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Malaria Prevention,45+,Male,4,32,20 ,52 ,180 ,720 ,12.8 ,182,-1.2864,36.8172
2923,2025-12-07,2025-12,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,HIV Testing,35-44,Male,1,20,20 ,40 ,300 ,300 ,6.4 ,183,-1.2864,36.8172
5834,2025-12-08,2025-12,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Maternal Health,45+,Female,5,225,113 ,338 ,800 ,"4,000 ",10.8 ,188,-1.2864,36.8172
2350,2026-01-07,2026-01,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Post-abortion Care,25-34,Male,3,180,82 ,262 ,"1,500 ","4,500 ",16.2 ,191,-1.2864,36.8172
7418,2026-03-01,2026-03,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Malaria Prevention,25-34,Female,6,48,171 ,219 ,180 ,"1,080 ",3.9 ,197,-1.2864,36.8172
8494,2026-05-11,2026-05,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Malaria Prevention,25-34,Male,8,64,134 ,198 ,180 ,"1,440 ",6.3 ,205,-1.2864,36.8172
1882,2026-05-26,2026-05,Kenya,Nairobi,Ken_Nai_Cl_3,Clinic,Family Planning,35-44,Male,14,210,276 ,486 ,120 ,"1,680 ",2.5 ,219,-1.2864,36.8172
7930,2025-01-01,2025-01,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,HIV Testing,25-34,Male,8,160,148 ,308 ,300 ,"2,400 ",6.8 ,8,-1.2864,36.8172
8951,2025-01-11,2025-01,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Maternal Health,45+,Female,27,1215,419 ,"1,634 ",800 ,"21,600 ",12.2 ,35,-1.2864,36.8172
2278,2025-01-13,2025-01,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Family Planning,35-44,Male,17,255,215 ,470 ,120 ,"2,040 ",3.3 ,52,-1.2864,36.8172
5475,2025-01-15,2025-01,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Maternal Health,45+,Female,17,765,439 ,"1,204 ",800 ,"13,600 ",10.3 ,69,-1.2864,36.8172
2438,2025-02-01,2025-02,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Child Immunization,15-24,Female,25,300,717 ,"1,017 ",250 ,"6,250 ",5.1 ,94,-1.2864,36.8172
1594,2025-02-23,2025-02,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Malaria Prevention,35-44,Female,20,160,243 ,403 ,180 ,"3,600 ",7.9 ,114,-1.2864,36.8172
5087,2025-02-26,2025-02,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,HIV Testing,25-34,Male,9,180,186 ,366 ,300 ,"2,700 ",6.4 ,123,-1.2864,36.8172
7464,2025-03-25,2025-03,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Family Planning,25-34,Male,35,525,747 ,"1,272 ",120 ,"4,200 ",2.3 ,158,-1.2864,36.8172
8673,2025-07-28,2025-07,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Child Immunization,25-34,Male,31,372,742 ,"1,114 ",250 ,"7,750 ",6.0 ,189,-1.2864,36.8172
2439,2025-11-07,2025-11,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Post-abortion Care,45+,Female,5,300,37 ,337 ,"1,500 ","7,500 ",21.2 ,194,-1.2864,36.8172
5677,2025-11-12,2025-11,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,HIV Testing,25-34,Female,12,240,184 ,424 ,300 ,"3,600 ",7.5 ,206,-1.2864,36.8172
1614,2025-12-22,2025-12,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Malaria Prevention,35-44,Male,18,144,127 ,271 ,180 ,"3,240 ",10.9 ,224,-1.2864,36.8172
253,2025-12-28,2025-12,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Maternal Health,45+,Female,18,810,389 ,"1,199 ",800 ,"14,400 ",11.0 ,242,-1.2864,36.8172
2050,2026-02-12,2026-02,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Family Planning,25-34,Female,33,495,577 ,"1,072 ",120 ,"3,960 ",2.7 ,275,-1.2864,36.8172
7042,2026-02-24,2026-02,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Post-abortion Care,35-44,Male,5,300,138 ,438 ,"1,500 ","7,500 ",16.1 ,280,-1.2864,36.8172
6527,2026-04-17,2026-04,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Malaria Prevention,15-24,Female,11,88,151 ,239 ,180 ,"1,980 ",7.3 ,291,-1.2864,36.8172
133,2026-04-19,2026-04,Kenya,Nairobi,Ken_Nai_Ho_1,Hospital,Post-abortion Care,15-24,Female,4,240,72 ,312 ,"1,500 ","6,000 ",18.2 ,295,-1.2864,36.8172
3095,2025-01-17,2025-01,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Family Planning,45+,Male,28,420,444 ,864 ,120 ,"3,360 ",2.9 ,28,-1.2864,36.8172
3616,2025-01-24,2025-01,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Child Immunization,15-24,Male,30,360,576 ,936 ,250 ,"7,500 ",7.0 ,58,-1.2864,36.8172
3937,2025-02-21,2025-02,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,HIV Testing,15-24,Female,12,240,328 ,568 ,300 ,"3,600 ",5.3 ,70,-1.2864,36.8172
4303,2025-03-01,2025-03,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Malaria Prevention,15-24,Female,20,160,454 ,614 ,180 ,"3,600 ",4.9 ,90,-1.2864,36.8172
5882,2025-03-10,2025-03,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Malaria Prevention,45+,Female,17,136,106 ,242 ,180 ,"3,060 ",11.7 ,107,-1.2864,36.8172
3615,2025-04-03,2025-04,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Family Planning,35-44,Female,29,435,439 ,874 ,120 ,"3,480 ",3.0 ,136,-1.2864,36.8172
7600,2025-04-08,2025-04,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Post-abortion Care,35-44,Female,3,180,60 ,240 ,"1,500 ","4,500 ",17.8 ,139,-1.2864,36.8172
8875,2025-04-10,2025-04,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Child Immunization,15-24,Male,29,348,679 ,"1,027 ",250 ,"7,250 ",6.1 ,168,-1.2864,36.8172
8012,2025-07-05,2025-07,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Malaria Prevention,45+,Female,16,128,178 ,306 ,180 ,"2,880 ",8.4 ,184,-1.2864,36.8172
1995,2025-08-26,2025-08,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Maternal Health,15-24,Female,19,855,163 ,"1,018 ",800 ,"15,200 ",13.9 ,203,-1.2864,36.8172
5746,2025-09-08,2025-09,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Family Planning,45+,Female,29,435,727 ,"1,162 ",120 ,"3,480 ",2.0 ,232,-1.2864,36.8172
6316,2025-09-23,2025-09,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Child Immunization,35-44,Female,35,420,654 ,"1,074 ",250 ,"8,750 ",7.1 ,267,-1.2864,36.8172
8963,2025-10-15,2025-10,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,HIV Testing,35-44,Male,8,160,86 ,246 ,300 ,"2,400 ",8.7 ,275,-1.2864,36.8172
4126,2025-12-11,2025-12,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Family Planning,25-34,Female,22,330,152 ,482 ,120 ,"2,640 ",4.5 ,297,-1.2864,36.8172
8758,2025-12-13,2025-12,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Maternal Health,45+,Female,17,765,88 ,853 ,800 ,"13,600 ",14.9 ,314,-1.2864,36.8172
3833,2025-12-14,2025-12,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Maternal Health,35-44,Male,18,810,307 ,"1,117 ",800 ,"14,400 ",11.9 ,332,-1.2864,36.8172
8275,2026-01-12,2026-01,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Child Immunization,35-44,Male,36,432,621 ,"1,053 ",250 ,"9,000 ",7.5 ,368,-1.2864,36.8172
3652,2026-02-06,2026-02,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Post-abortion Care,45+,Male,7,420,198 ,618 ,"1,500 ","10,500 ",16.0 ,375,-1.2864,36.8172
4906,2026-02-13,2026-02,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Child Immunization,35-44,Female,20,240,195 ,435 ,250 ,"5,000 ",10.5 ,395,-1.2864,36.8172
7340,2026-02-28,2026-02,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Maternal Health,45+,Male,22,990,400 ,"1,390 ",800 ,"17,600 ",11.7 ,417,-1.2864,36.8172
8291,2026-02-28,2026-02,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Family Planning,15-24,Male,40,600,396 ,996 ,120 ,"4,800 ",3.8 ,457,-1.2864,36.8172
3664,2026-03-16,2026-03,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Maternal Health,35-44,Female,19,855,255 ,"1,110 ",800 ,"15,200 ",12.7 ,476,-1.2864,36.8172
4786,2026-04-02,2026-04,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Child Immunization,15-24,Male,39,468,"1,004 ","1,472 ",250 ,"9,750 ",5.6 ,515,-1.2864,36.8172
3917,2026-04-05,2026-04,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Child Immunization,45+,Male,28,336,210 ,546 ,250 ,"7,000 ",11.8 ,543,-1.2864,36.8172
3453,2026-04-14,2026-04,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,HIV Testing,45+,Male,12,240,228 ,468 ,300 ,"3,600 ",6.7 ,555,-1.2864,36.8172
7429,2026-05-23,2026-05,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Child Immunization,15-24,Male,40,480,939 ,"1,419 ",250 ,"10,000 ",6.0 ,595,-1.2864,36.8172
8691,2026-05-25,2026-05,Kenya,Nairobi,Ken_Nai_Ho_2,Hospital,Maternal Health,35-44,Male,14,630,238 ,868 ,800 ,"11,200 ",11.9 ,609,-1.2864,36.8172
4285,2025-02-02,2025-02,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,HIV Testing,15-24,Male,10,200,227 ,427 ,300 ,"3,000 ",6.0 ,10,-1.2864,36.8172
7302,2025-02-18,2025-02,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,HIV Testing,15-24,Female,10,200,274 ,474 ,300 ,"3,000 ",5.3 ,20,-1.2864,36.8172
656,2025-02-19,2025-02,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Child Immunization,45+,Male,30,360,843 ,"1,203 ",250 ,"7,500 ",5.2 ,50,-1.2864,36.8172
249,2025-03-23,2025-03,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Family Planning,35-44,Female,24,360,621 ,981 ,120 ,"2,880 ",1.9 ,74,-1.2864,36.8172
3916,2025-03-29,2025-03,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Post-abortion Care,35-44,Female,4,240,83 ,323 ,"1,500 ","6,000 ",17.6 ,78,-1.2864,36.8172
7240,2025-04-11,2025-04,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Malaria Prevention,35-44,Female,20,160,307 ,467 ,180 ,"3,600 ",6.7 ,98,-1.2864,36.8172
72,2025-04-20,2025-04,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Post-abortion Care,25-34,Female,5,300,126 ,426 ,"1,500 ","7,500 ",16.6 ,103,-1.2864,36.8172
8442,2025-06-09,2025-06,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Child Immunization,15-24,Female,32,384,876 ,"1,260 ",250 ,"8,000 ",5.4 ,135,-1.2864,36.8172
6289,2025-07-01,2025-07,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Family Planning,25-34,Male,23,345,141 ,486 ,120 ,"2,760 ",4.7 ,158,-1.2864,36.8172
1222,2025-07-04,2025-07,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Post-abortion Care,15-24,Female,5,300,121 ,421 ,"1,500 ","7,500 ",16.8 ,163,-1.2864,36.8172
7044,2025-07-16,2025-07,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,HIV Testing,15-24,Female,12,240,255 ,495 ,300 ,"3,600 ",6.3 ,175,-1.2864,36.8172
6112,2025-07-19,2025-07,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Family Planning,45+,Female,36,540,207 ,747 ,120 ,"4,320 ",4.8 ,211,-1.2864,36.8172
7073,2025-08-08,2025-08,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Post-abortion Care,15-24,Female,5,300,139 ,439 ,"1,500 ","7,500 ",16.1 ,216,-1.2864,36.8172
5701,2025-10-07,2025-10,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Malaria Prevention,45+,Male,16,128,431 ,559 ,180 ,"2,880 ",4.1 ,232,-1.2864,36.8172
5282,2025-11-24,2025-11,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,HIV Testing,45+,Female,10,200,252 ,452 ,300 ,"3,000 ",5.6 ,242,-1.2864,36.8172
2979,2025-12-08,2025-12,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Maternal Health,25-34,Male,13,585,116 ,701 ,800 ,"10,400 ",13.8 ,255,-1.2864,36.8172
6127,2025-12-13,2025-12,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Child Immunization,15-24,Male,29,348,388 ,736 ,250 ,"7,250 ",8.9 ,284,-1.2864,36.8172
4250,2026-01-23,2026-01,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Child Immunization,45+,Female,28,336,322 ,658 ,250 ,"7,000 ",9.6 ,312,-1.2864,36.8172
4298,2026-02-10,2026-02,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Maternal Health,25-34,Male,24,1080,571 ,"1,651 ",800 ,"19,200 ",10.6 ,336,-1.2864,36.8172
3190,2026-02-28,2026-02,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Child Immunization,35-44,Female,30,360,160 ,520 ,250 ,"7,500 ",13.4 ,366,-1.2864,36.8172
910,2026-05-21,2026-05,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Maternal Health,25-34,Male,20,900,327 ,"1,227 ",800 ,"16,000 ",12.0 ,386,-1.2864,36.8172
8164,2026-05-30,2026-05,Kenya,Nairobi,Ken_Nai_Ho_3,Hospital,Maternal Health,25-34,Male,18,810,498 ,"1,308 ",800 ,"14,400 ",10.0 ,404,-1.2864,36.8172
6150,2025-01-01,2025-01,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,HIV Testing,45+,Female,7,140,106 ,246 ,300 ,"2,100 ",7.5 ,7,-1.2864,36.8172
3060,2025-01-16,2025-01,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Family Planning,45+,Male,29,435,494 ,929 ,120 ,"3,480 ",2.7 ,36,-1.2864,36.8172
7509,2025-02-04,2025-02,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Maternal Health,15-24,Female,24,1080,170 ,"1,250 ",800 ,"19,200 ",14.4 ,60,-1.2864,36.8172
2895,2025-02-10,2025-02,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Family Planning,25-34,Male,27,405,386 ,791 ,120 ,"3,240 ",3.1 ,87,-1.2864,36.8172
1486,2025-02-12,2025-02,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Family Planning,25-34,Female,27,405,389 ,794 ,120 ,"3,240 ",3.1 ,114,-1.2864,36.8172
8606,2025-02-15,2025-02,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Family Planning,15-24,Male,22,330,477 ,807 ,120 ,"2,640 ",2.3 ,136,-1.2864,36.8172
5147,2025-03-07,2025-03,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Child Immunization,45+,Female,30,360,563 ,923 ,250 ,"7,500 ",7.1 ,166,-1.2864,36.8172
5949,2025-03-28,2025-03,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Maternal Health,35-44,Male,13,585,358 ,943 ,800 ,"10,400 ",10.0 ,179,-1.2864,36.8172
6321,2025-03-28,2025-03,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Post-abortion Care,25-34,Male,6,360,55 ,415 ,"1,500 ","9,000 ",20.7 ,185,-1.2864,36.8172
5584,2025-05-06,2025-05,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Post-abortion Care,35-44,Female,3,180,86 ,266 ,"1,500 ","4,500 ",15.9 ,188,-1.2864,36.8172
7456,2025-05-25,2025-05,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Post-abortion Care,45+,Female,7,420,183 ,603 ,"1,500 ","10,500 ",16.4 ,195,-1.2864,36.8172
1478,2025-06-22,2025-06,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Post-abortion Care,15-24,Female,2,120,13 ,133 ,"1,500 ","3,000 ",21.5 ,197,-1.2864,36.8172
6310,2025-07-03,2025-07,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,HIV Testing,15-24,Male,8,160,78 ,238 ,300 ,"2,400 ",9.1 ,205,-1.2864,36.8172
3687,2025-07-06,2025-07,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,HIV Testing,15-24,Male,10,200,246 ,446 ,300 ,"3,000 ",5.7 ,215,-1.2864,36.8172
7238,2025-07-09,2025-07,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Family Planning,45+,Female,34,510,555 ,"1,065 ",120 ,"4,080 ",2.8 ,249,-1.2864,36.8172
6319,2025-08-21,2025-08,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Family Planning,45+,Male,29,435,343 ,778 ,120 ,"3,480 ",3.5 ,278,-1.2864,36.8172
7675,2025-08-23,2025-08,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Family Planning,25-34,Male,29,435,557 ,992 ,120 ,"3,480 ",2.5 ,307,-1.2864,36.8172
338,2025-09-25,2025-09,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Post-abortion Care,25-34,Male,4,240,95 ,335 ,"1,500 ","6,000 ",16.9 ,311,-1.2864,36.8172
5876,2025-09-25,2025-09,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Post-abortion Care,25-34,Female,7,420,117 ,537 ,"1,500 ","10,500 ",18.6 ,318,-1.2864,36.8172
3567,2025-10-02,2025-10,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,HIV Testing,15-24,Female,11,220,71 ,291 ,300 ,"3,300 ",10.4 ,329,-1.2864,36.8172
7979,2025-10-21,2025-10,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Family Planning,35-44,Male,22,330,129 ,459 ,120 ,"2,640 ",4.7 ,351,-1.2864,36.8172
6614,2025-10-31,2025-10,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Post-abortion Care,15-24,Female,5,300,80 ,380 ,"1,500 ","7,500 ",18.7 ,356,-1.2864,36.8172
3790,2025-11-06,2025-11,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Child Immunization,45+,Male,36,432,217 ,649 ,250 ,"9,000 ",12.9 ,392,-1.2864,36.8172
2646,2025-11-19,2025-11,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Post-abortion Care,15-24,Female,4,240,104 ,344 ,"1,500 ","6,000 ",16.4 ,396,-1.2864,36.8172
5848,2025-12-31,2025-12,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Malaria Prevention,45+,Male,12,96,73 ,169 ,180 ,"2,160 ",11.8 ,408,-1.2864,36.8172
1926,2026-01-14,2026-01,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Malaria Prevention,45+,Male,13,104,169 ,273 ,180 ,"2,340 ",7.6 ,421,-1.2864,36.8172
2322,2026-01-26,2026-01,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Family Planning,15-24,Male,26,390,630 ,"1,020 ",120 ,"3,120 ",2.1 ,447,-1.2864,36.8172
3861,2026-03-10,2026-03,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,HIV Testing,35-44,Female,9,180,136 ,316 ,300 ,"2,700 ",7.5 ,456,-1.2864,36.8172
3589,2026-04-11,2026-04,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,HIV Testing,35-44,Female,12,240,182 ,422 ,300 ,"3,600 ",7.5 ,468,-1.2864,36.8172
1822,2026-04-19,2026-04,Kenya,Nairobi,Ken_Nai_Ho_4,Hospital,Child Immunization,45+,Female,24,288,171 ,459 ,250 ,"6,000 ",12.1 ,492,-1.2864,36.8172
773,2025-01-13,2025-01,Kenya,Nairobi,Ken_Nai_Ho_5,Hospital,Malaria Prevention,25-34,Male,10,80,195 ,275 ,180 ,"1,800 ",5.5 ,10,-1.2864,36.8172
2366,2025-01-14,2025-01,Kenya,Nairobi,Ken_Nai_Ho_5,Hospital,Malaria Prevention,35-44,Female,19,152,169 ,321 ,180 ,"3,420 ",9.6 ,29,-1.2864,36.8172
820,2025-02-13,2025-02,Kenya,Nairobi,Ken_Nai_Ho_5,Hospital,Child Immunization,45+,Female,26,312,371 ,683 ,250 ,"6,500 ",8.5 ,55,-1.2864,36.8172
4767,2025-02-21,2025-02,Kenya,Nairobi,Ken_Nai_Ho_5,Hospital,Child Immunization,25-34,Male,31,372,726 ,"1,098 ",250 ,"7,750 ",6.1 ,86,-1.2864,36.8172
8652,2025-02-24,2025-02,Kenya,Nairobi,Ken_Nai_Ho_5,Hospital,Post-abortion Care,25-34,Female,5,300,89 ,389 ,"1,500 ","7,500 ",18.3 ,91,-1.2864,36.8172
873,2025-03-10,2025-03,Kenya,Nairobi,Ken_Nai_Ho_5,Hospital,Post-abortion Care,35-44,Male,8,480,213 ,693 ,"1,500 ","12,000 ",16.3 ,99,-1.2864,36.8172
8825,2025-04-26,2025-04,Kenya,Nairobi,Ken_Nai_Ho_5,Hospital,HIV Testing,45+,Female,7,140,54 ,194 ,300 ,"2,100 ",9.8 ,106,-1.2864,36.8172
3679,2025-05-04,2025-05,Kenya,Nairobi,Ken_Nai_Ho_5,Hospital,Family Planning,25-34,Male,39,585,527 ,"1,112 ",120 ,"4,680 ",3.2 ,145,-1.2864,36.8172
